Suburb,Post Code,Latitude,Longitude
Carlton,3053,-37.8004228,144.9684343
Carlton North,3054,-37.7845585,144.9728553
Docklands,3008,-37.8175423,144.9394923
East Melbourne,3002,-37.812498,144.9858851
Flemington,3031,-37.7867587,144.9193668
Kensington,3031,-37.7943554,144.9270487
Melbourne (CBD),3000,-37.8142176,144.9631608
Melbourne,3004,-37.8142176,144.9631608
North Melbourne,3051,-37.7985747,144.9451741
Parkville,3052,-37.7871148,144.9515533
Port Melbourne,3207,-37.8333613,144.9219203
Southbank,3006,-37.8253618,144.9640203
South Wharf,3006,-37.8253279,144.9493432
South Yarra,3141,-37.8377695,144.9918537
West Melbourne,3003,-37.81044755,144.9204298
Albert Park,3206,-37.8452062,144.957105
Balaclava,3183,-37.8702943,144.9947414
Elwood,3184,-37.8788568,144.9855487
Middle Park,3206,-37.8511511,144.9620399
Ripponlea,3185,-37.8777978,144.9952778
St Kilda,3182,-37.8638261,144.981637
St Kilda East,3183,-37.8668218,145.0021657
St Kilda West,3182,-37.8579958,144.9712452
Abbotsford,3067,-37.8045508,144.9988542
Alphington,3078,-37.7803992,145.0308824
Burnley,3121,-37.8296132,145.0175294
Clifton Hill,3068,-37.7904385,144.9975371
Collingwood,3066,-37.802104,144.9881387
Cremorne,3121,-37.8290227,144.9927735
Fairfield,3078,-37.7845032,145.0158191
Fitzroy,3065,-37.8010382,144.9792611
Fitzroy North,3068,-37.7833316,144.9837074
Princes Hill,3054,-37.7818041,144.9665675
Richmond,3121,-37.8203955,145.0025153
South Melbourne,3205,-37.8334603,144.9570188
